0,6323
0.5,6363, nw
1,6342
1.25,6263
1.5,6099
1.75,5800
2,5329
2.25,4702
2.5,3895
2.75,3011
3,2120
3.25,1354
3.5,769.4
3.75,390.2
4,175.8
4.25,71.84
4.5,26.1
4.75,8.516
5,2.455
5.25,0.5974
5.5,0.09932
5.625,0.03296
5.75,0.01352
5.875,0.01393
6,0.01886
6.1,0.0222
